,State Name,Dist Name,Year,n_removal_kg_ha_bouwman2005,n_removal_kg_ha_faostat2022,Nitrogen Deposition(kgN/ha)_ISMIP,BNF_agriculture_KG_per_ha,BNF_kg_ha_lasestta,manure_applied_N_kg_per_hec_ICRISAT_Zhang,total_nitrogen_applied_per_unit_area_cropland_pathak_Kg_ha,Zhang_N_Manure_Applied_(kgN/ha/yr)_glim,NITROGEN PER HA OF NCA (Kg per ha)
0,Chhattisgarh,Durg,1966,8.639944327,4.678314714,5.134449601,21.28948633,14.18625381,10.3755337,8.907594676,3.818889141,1.38
1,Chhattisgarh,Durg,1967,12.08069735,8.100584802,5.567289591,22.67535841,21.76916421,9.537315337,7.845468417,3.717372417,1.5
2,Chhattisgarh,Durg,1968,12.98825668,8.990513519,6.247758865,22.78202751,22.84645861,9.558430557,7.609682061,3.795828104,2.95
3,Chhattisgarh,Durg,1969,11.65693401,7.730579608,5.863159299,23.08655224,22.70677968,9.621875346,7.596052779,3.819001913,3.99
4,Chhattisgarh,Durg,1970,15.29901199,9.550959522,6.084361076,23.69670282,25.68208171,9.325899874,7.359877603,3.758409262,4.44
5,Chhattisgarh,Durg,1971,14.52321695,8.497895874,6.563054323,23.70382857,11.75426859,9.332664979,7.27050766,3.860439301,6.87
6,Chhattisgarh,Durg,1972,12.77170765,8.385269387,6.147978306,23.6279504,11.80055483,9.469483018,7.424296663,3.970607281,8.01
7,Chhattisgarh,Durg,1973,13.63098463,9.115370103,6.879745126,23.91582744,8.714315307,8.463015027,6.574508658,3.849839687,4.47
8,Chhattisgarh,Durg,1974,9.515794072,6.47963249,7.206472754,21.74130472,12.54292069,9.746893114,7.979704071,3.909452915,2.6
9,Chhattisgarh,Durg,1975,13.93142763,9.014802044,7.606832981,23.80817833,9.426032373,8.214173055,6.728200943,3.950073004,4.39
10,Chhattisgarh,Durg,1976,6.995536705,5.580467553,7.320151329,22.92015723,4.149828107,8.699443288,7.30845538,4.018553257,4.8
11,Chhattisgarh,Durg,1977,13.84476868,9.774563718,7.185481787,23.48015839,6.695644107,8.156725155,6.692840348,4.0691576,4.1
12,Chhattisgarh,Durg,1978,9.773004744,6.972929313,8.040195704,23.0036234,21.3768256,9.526259899,7.345915279,4.13713932,5.91
13,Chhattisgarh,Durg,1979,7.330886669,5.87213545,7.409729958,22.68571659,33.74501035,10.74564797,8.29224897,4.274713516,4.63
14,Chhattisgarh,Durg,1980,13.22463409,9.245598887,8.239645958,23.62679037,36.38360752,9.577346574,7.465187895,4.329253197,5.55
15,Chhattisgarh,Durg,1981,11.77320523,9.0468487,8.419610262,25.77711752,22.90340277,10.38239713,8.010401509,4.403263569,6.59
16,Chhattisgarh,Durg,1982,12.2148742,8.931723148,9.136410356,23.95058977,26.50881243,9.738257418,7.452763022,4.469390392,7.19
17,Chhattisgarh,Durg,1983,15.80634293,11.62611345,8.312298059,24.12797085,27.5966295,10.80721304,8.100050414,4.576020241,9.54
18,Chhattisgarh,Durg,1984,13.15777862,10.11838224,9.373285174,24.23279158,28.19414351,11.09062881,8.276932735,4.652512074,11.7
19,Chhattisgarh,Durg,1985,15.56647596,11.8545976,10.91191411,24.50742715,28.79908228,10.77973521,8.001932547,4.677848816,13.09
20,Chhattisgarh,Durg,1986,13.27316108,10.31515704,8.865519762,24.26467176,28.2300226,12.02559572,8.82472668,4.741749763,12.88
21,Chhattisgarh,Durg,1987,13.23166182,10.06624128,9.410746098,24.46645972,28.50594413,11.67389657,8.752568103,4.828585148,16.57
22,Chhattisgarh,Durg,1988,13.01005539,10.60831453,10.18952608,24.43938766,31.00128673,12.46397005,9.462433388,4.8698349,17.97
23,Chhattisgarh,Durg,1989,12.13435761,9.682770771,11.62509084,25.26544906,27.29575993,12.49867564,9.424111773,4.913169861,20.42
24,Chhattisgarh,Durg,1990,18.20489753,14.14579873,11.02684379,26.26770788,28.39744231,14.06856721,8.701997328,4.960010052,21.33
25,Chhattisgarh,Durg,1991,19.94758064,14.40464271,11.65716648,26.03372445,32.02886793,12.06842576,8.757865807,5.005512238,19
26,Chhattisgarh,Durg,1992,18.76652549,14.40540799,10.63442469,26.05123493,36.69533612,12.1057063,8.723745924,5.084308624,24.09
27,Chhattisgarh,Durg,1993,22.09713995,17.02345046,9.824389815,25.7853461,33.36252842,12.32555947,8.469313941,5.082746029,21.95
28,Chhattisgarh,Durg,1994,22.93931674,17.76165572,9.772513509,26.31778041,31.65424635,12.08204629,8.272079512,5.104566097,27.6
29,Chhattisgarh,Durg,1995,21.56857951,18.27322773,10.65329552,26.2221308,30.9731115,11.67629413,8.246782633,5.116510868,27.55
30,Chhattisgarh,Durg,1996,22.85228896,18.09634673,9.35513258,24.91958042,31.03081933,12.34719668,8.410680229,5.129132748,27.49
31,Chhattisgarh,Durg,1997,17.23267462,16.74692039,10.25576353,25.36006267,25.57026927,12.39493814,8.412798136,5.10597229,34.67
32,Chhattisgarh,Durg,1998,19.481429,15.59769342,9.145477414,29.55344797,28.11377674,11.93669214,8.536822862,5.086030006,33.06
33,Chhattisgarh,Durg,1999,21.04045191,16.96962656,9.322845936,24.44173977,31.25998611,11.7301377,8.080039149,5.063941002,33.81
34,Chhattisgarh,Durg,2000,10.20842327,9.692386783,8.497703075,20.87401581,23.32343053,12.73739689,9.446930258,5.017656803,34.47
35,Chhattisgarh,Durg,2001,18.27522712,17.33963983,9.372912645,19.90369648,33.62698031,12.23093178,8.52577056,5.011516571,38.25
36,Chhattisgarh,Durg,2002,11.79049396,10.97614329,9.435958862,21.03939936,30.31506467,12.45319138,8.915012151,5.028537273,32.11
37,Chhattisgarh,Durg,2003,22.3882763,21.2109792,11.49298549,20.44475166,36.38480334,11.75028858,8.293739861,5.06886816,31.39
38,Chhattisgarh,Durg,2004,18.91063548,18.31270684,10.4642427,21.1521549,35.94363971,14.57395922,9.718579068,5.12332058,47
39,Chhattisgarh,Durg,2005,21.26852715,18.38292805,11.44260406,26.92197372,36.10040237,14.6197537,9.590628281,5.197524548,50.67
40,Chhattisgarh,Durg,2006,27.67728305,22.77271995,9.378136992,27.01106034,37.62689671,14.92346471,9.599445653,5.237426281,61.4
41,Chhattisgarh,Durg,2007,38.52125201,24.61335336,9.388767481,25.77136359,52.31004073,15.1202135,9.52738113,5.442993641,58
42,Chhattisgarh,Durg,2008,24.00961655,18.88086962,11.2387991,25.15450545,42.76031761,16.44985873,10.83375728,5.458119392,50.7
43,Chhattisgarh,Durg,2009,20.95410651,18.64454767,10.73736191,25.29785845,42.92164866,16.68144887,11.07268287,5.47334528,70.82
44,Chhattisgarh,Durg,2010,34.86972327,31.53168548,10.04713178,26.75830766,45.85369225,15.92410893,10.73710644,5.523127079,75.27
45,Chhattisgarh,Durg,2011,31.81277356,29.53337148,10.7096386,24.49996454,38.97445505,16.8978877,10.70428453,5.543877602,70.69
