State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Andaman & Nicobar Island,Nicobar,1965,,,,,,,,
Andaman & Nicobar Island,Nicobar,1966,,,,,,,,
Andaman & Nicobar Island,Nicobar,1967,,,,,,,,
Andaman & Nicobar Island,Nicobar,1968,,,,,,,,
Andaman & Nicobar Island,Nicobar,1969,,,,,,,,
Andaman & Nicobar Island,Nicobar,1970,,,,,,,,
Andaman & Nicobar Island,Nicobar,1971,,,,,,,,
Andaman & Nicobar Island,Nicobar,1972,,,,,,,,
Andaman & Nicobar Island,Nicobar,1973,,,,,,,,
Andaman & Nicobar Island,Nicobar,1974,,,,,,,,
Andaman & Nicobar Island,Nicobar,1975,,,,,,,,
Andaman & Nicobar Island,Nicobar,1976,,,,,,,,
Andaman & Nicobar Island,Nicobar,1977,,,,,,,,
Andaman & Nicobar Island,Nicobar,1978,,,,,,,,
Andaman & Nicobar Island,Nicobar,1979,,,,,,,,
Andaman & Nicobar Island,Nicobar,1980,,,,,,,,
Andaman & Nicobar Island,Nicobar,1981,,,,,,,,
Andaman & Nicobar Island,Nicobar,1982,,,,,,,,
Andaman & Nicobar Island,Nicobar,1983,,,,,,,,
Andaman & Nicobar Island,Nicobar,1984,,,,,,,,
Andaman & Nicobar Island,Nicobar,1985,,,,,,,,
Andaman & Nicobar Island,Nicobar,1986,,,,,,,,
Andaman & Nicobar Island,Nicobar,1987,,,,,,,,
Andaman & Nicobar Island,Nicobar,1988,,,,,,,,
Andaman & Nicobar Island,Nicobar,1989,,,,,,,,
Andaman & Nicobar Island,Nicobar,1990,,,,,,,,
Andaman & Nicobar Island,Nicobar,1991,,,,,,,,
Andaman & Nicobar Island,Nicobar,1992,,,,,,,,
Andaman & Nicobar Island,Nicobar,1993,,,,,,,,
Andaman & Nicobar Island,Nicobar,1994,,,,,,,,
Andaman & Nicobar Island,Nicobar,1995,,,,,,,,
Andaman & Nicobar Island,Nicobar,1996,,,,,,,,
Andaman & Nicobar Island,Nicobar,1997,,,,,,,,
Andaman & Nicobar Island,Nicobar,1998,,,,,,,,
Andaman & Nicobar Island,Nicobar,1999,,,,,,,,
